id,country,currency,code,symbol,thousand_separator,decimal_separator,created_at,updated_at,status
1,Albania,Leke,ALL,Lek,",",.,10/27/2022 18:21,10/27/2022 18:21,1
2,America,Dollars,USD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
3,Afghanistan,Afghanis,AF,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
4,Argentina,Pesos,ARS,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
5,Aruba,Guilders,AWG,ƒ,",",.,10/27/2022 18:21,10/27/2022 18:21,1
6,Australia,Dollars,AUD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
7,Azerbaijan,New Manats,AZ,???,",",.,10/27/2022 18:21,10/27/2022 18:21,1
8,Bahamas,Dollars,BSD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
9,Barbados,Dollars,BBD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
10,Belarus,Rubles,BYR,p.,",",.,10/27/2022 18:21,10/27/2022 18:21,1
11,Belgium,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
12,Beliz,Dollars,BZD,BZ$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
13,Bermuda,Dollars,BMD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
14,Bolivia,Bolivianos,BOB,$b,",",.,10/27/2022 18:21,10/27/2022 18:21,1
15,Bosnia and Herzegovina,Convertible Marka,BAM,KM,",",.,10/27/2022 18:21,10/27/2022 18:21,1
16,Botswana,Pula's,BWP,P,",",.,10/27/2022 18:21,10/27/2022 18:21,1
17,Bulgaria,Leva,BG,??,",",.,10/27/2022 18:21,10/27/2022 18:21,1
18,Brazil,Reais,BRL,R$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
19,Britain [United Kingdom],Pounds,GBP,£,",",.,10/27/2022 18:21,10/27/2022 18:21,1
20,Brunei Darussalam,Dollars,BND,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
21,Cambodia,Riels,KHR,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
22,Canada,Dollars,CAD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
23,Cayman Islands,Dollars,KYD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
24,Chile,Pesos,CLP,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
25,China,Yuan Renminbi,CNY,¥,",",.,10/27/2022 18:21,10/27/2022 18:21,1
26,Colombia,Pesos,COP,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
27,Costa Rica,ColÃ³n,CRC,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
28,Croatia,Kuna,HRK,kn,",",.,10/27/2022 18:21,10/27/2022 18:21,1
29,Cuba,Pesos,CUP,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
30,Cyprus,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
31,Czech Republic,Koruny,CZK,K?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
32,Denmark,Kroner,DKK,kr,",",.,10/27/2022 18:21,10/27/2022 18:21,1
33,Dominican Republic,Pesos,DOP ,RD$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
34,East Caribbean,Dollars,XCD,$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
